time,num_completed,total_wait,abandon
3942,1,0,0
3947,1,0,0
3949,1,0,0
3950,1,0,0
3951,1,0,0
3963,1,0,0
3964,2,0,0
3971,1,0,0
3974,2,0,0
3977,1,0,0
3982,1,0,0
3984,1,0,0
3986,1,2,0
3988,1,0,0
3989,1,0,0
3993,1,1,0
3996,1,0,0
3999,2,4,0
4003,1,4,0
4005,1,2,0
4011,1,8,0
4013,1,9,0
4014,2,18,0
4024,1,18,0
4025,1,13,0
4040,1,23,0
4041,2,36,0
4062,3,91,0
4063,1,25,0
4065,1,27,0
4068,1,29,0
4071,2,47,0
4075,1,19,0
4077,1,20,0
4079,1,22,0
4080,1,12,1
4082,1,20,0
4084,1,19,0
4090,1,23,0
4096,2,54,0
4097,1,24,0
4110,1,31,0
4113,1,32,0
4114,1,32,0
4115,1,30,0
4116,1,31,0
4118,2,56,0
4123,1,28,0
4125,1,5,1
4134,1,37,0
4136,1,32,0
4139,2,68,0
4142,1,37,0
4147,2,79,0
4151,2,75,0
4155,1,41,0
4157,1,43,0
4158,3,122,0
4159,1,36,0
4168,2,84,0
4169,1,39,0
4170,2,58,0
4172,1,30,0
4174,1,32,0
4175,1,32,0
4182,1,37,0
4186,1,40,0
4187,1,40,0
4188,1,41,0
4196,2,63,1
4199,1,45,0
4208,1,49,0
4210,1,50,0
4220,1,58,0
4221,2,108,0
4223,2,101,0
4234,1,56,0
4236,1,58,0
4237,1,51,0
4238,1,52,0
4239,1,48,0
4242,1,31,1
4246,2,107,0
4247,1,31,1
4249,2,91,1
4250,2,75,0
4253,1,37,0
4256,1,30,0
4258,1,31,0
4267,1,35,0
4270,2,70,0
4271,1,35,0
4275,1,38,0
4279,1,41,0
4288,1,44,0
4289,1,25,1
4291,1,41,0
4296,1,37,0
4299,1,38,0
4301,1,37,0
4305,1,38,0
4311,1,13,1
4312,2,64,0
4313,1,28,0
4321,1,35,0
4324,1,1,1
4328,1,40,0
4330,1,38,0
4333,1,38,0
4334,1,38,0
4336,1,36,0
4337,1,37,0
4338,1,37,0
4339,1,30,0
4342,1,32,0
4344,1,33,0
4346,1,29,0
4348,2,54,1
4356,1,37,0
4358,1,36,0
4367,1,20,1
4368,1,35,0
4373,1,36,0
4375,1,30,0
4381,1,31,0
4382,1,31,0
4385,1,17,1
4390,1,31,0
4391,1,31,0
4396,1,36,0
4397,1,37,0
4403,1,42,0
4404,1,37,0
4408,1,31,0
4409,1,30,0
4413,2,44,1
4414,1,24,0
4417,1,16,0
4419,2,31,0
4422,1,11,0
4424,1,13,0
4425,1,6,0
4426,1,2,0
4428,2,1,0
4435,2,6,0
4440,2,10,0
4447,1,0,0
4448,2,0,0
4452,1,0,0
4455,1,0,0
4461,1,0,0
4462,1,0,0
4466,1,0,0
4467,1,0,0
4474,1,0,0
4487,1,0,0
4488,1,0,0
4491,1,0,0
4493,1,0,0
4494,1,0,0
4497,2,0,0
4498,1,0,0
4502,2,0,0
4504,1,0,0
4512,1,0,0
4516,1,0,0
4518,1,0,0
4522,1,0,0
4528,1,0,0
4533,1,0,0
4534,1,0,0
4546,1,0,0
4550,1,0,0
4552,1,0,0
4554,1,0,0
4555,1,0,0
4559,2,0,0
4564,1,0,0
4575,1,0,0
4576,1,0,0
4581,1,0,0
4591,1,0,0
4593,1,0,0
4599,1,0,0
4604,1,0,0
4606,1,0,0
4612,1,0,0
4613,1,0,0
4619,1,0,0
4624,1,0,0
4627,1,0,0
4632,2,0,0
4635,1,0,0
4636,1,0,0
4637,1,0,0
4638,1,0,0
4640,1,0,0
4645,1,0,0
4647,1,0,0
4648,1,0,0
4649,1,0,0
4652,1,0,0
4655,1,0,0
4657,1,0,0
4663,1,6,0
4668,1,10,0
4669,1,9,0
4672,1,0,0
4683,1,0,0
4685,1,0,0
4689,1,0,0
4690,1,0,0
4692,1,1,0
4694,1,1,0
4696,1,2,0
4699,1,2,0
4701,2,8,0
4706,1,0,0
4713,1,4,0
4714,1,4,0
4715,1,5,0
4720,1,0,0
4723,1,0,0
4724,1,0,0
4730,1,0,0
4731,1,1,0
4738,1,7,0
4744,1,9,0
4748,1,12,0
4753,1,14,0
4754,1,12,0
4762,1,18,0
4763,2,35,0
4765,2,30,0
4766,1,10,0
4767,1,0,0
4775,1,6,0
4777,1,6,0
4778,1,3,0
4780,2,7,0
4781,1,2,0
4782,2,5,0
4786,1,0,0
4788,1,1,0
4789,1,0,0
4792,2,0,0
4801,1,0,0
4806,1,0,0
4808,1,0,0
4811,1,0,0
4815,2,0,0
4816,1,0,0
4818,1,0,0
4819,1,0,0
4822,1,0,0
4824,1,0,0
4825,1,0,0
4828,1,1,0
